Kernel,W16 A16 (Corr),W16 A16 (Perf),W8 A8 (Corr),W8 A8 (Perf),W8 A16 (Corr),W8 A16 (Perf),W4 A4 (Corr),W4 A4 (Perf),W4 A8 (Corr),W4 A8 (Perf),W4 A16 (Corr),W4 A16 (Perf)
"all-gather-matmul",❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❌ Failing,❌ Failing,❓ Untested
"fused moe",❌ Failing,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❌ Failing,❓ Untested,❌ Failing,❓ Untested,❌ Failing,❓ Untested
"generic ragged paged<br>attention v3*",❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❌ Failing,❓ Untested,❓ Untested,❓ Untested,❌ Failing,❓ Untested
"gmm",❓ Untested,❌ Failing,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested
"mla*",❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❌ Failing,❓ Untested,❌ Failing,❓ Untested,❓ Untested,❓ Untested
"ragged paged attention v3<br>head_dim 64*",❓ Untested,❓ Untested,❌ Failing,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❓ Untested,❌ Failing,❓ Untested
